detector_type,descriptor_type,frame,no_keypoints_frame,detector_time_ms,descriptor_time_ms,no_matched_points,matching_time_ms,ttc_lidar_s,ttc_camera_s
FAST,BRIEF,1,5291,2.53642300,16.52194100,2139,627.27836500,12.29943227,7.84072795
FAST,BRIEF,2,5202,2.36136800,16.62711100,2122,624.37602600,12.98777737,12.66666387
FAST,BRIEF,3,5090,2.41045500,16.10422200,2128,603.22394700,17.26938871,13.18179487
FAST,BRIEF,4,5118,2.52389800,16.49200700,2070,599.03929600,13.79866612,11.94100490
FAST,BRIEF,5,5180,2.53950800,15.94475900,2150,598.30155900,12.85564709,13.07814965
FAST,BRIEF,6,5192,2.41225500,15.75250000,2060,591.98072300,13.34054193,13.05756136
FAST,BRIEF,7,5177,2.55622200,16.03608500,2010,596.46633800,14.45731022,12.10082306
FAST,BRIEF,8,5176,2.50238200,18.02906800,2032,597.68648100,13.13016586,12.82882686
FAST,BRIEF,9,5225,2.49847800,16.19746900,2030,597.48491900,12.34545830,12.63873578
FAST,BRIEF,10,5331,2.56139500,16.95605400,2016,613.95253200,12.14960324,11.22189533
FAST,BRIEF,11,5351,2.55640400,16.21723700,2104,626.58240900,11.54790781,11.63614263
FAST,BRIEF,12,5244,2.45475400,16.09118400,2161,618.79037200,10.07826007,12.66213856
FAST,BRIEF,13,5231,2.53023000,16.32953500,2102,600.73672800,9.20565887,11.04368328
FAST,BRIEF,14,5286,2.48200300,16.53609200,2211,600.84104000,9.54236248,10.79302525
FAST,BRIEF,15,5464,2.49206000,16.72740100,2222,632.44362500,8.39156690,9.90402020
FAST,BRIEF,16,5464,2.56831700,16.45498900,2278,650.47628200,8.88653053,8.87284907
FAST,BRIEF,17,5563,2.60556300,17.72865100,2314,659.17973100,11.04299793,11.16768068

FAST,ORB,0,5275,2.46553300,8.72393500,0,0.00000000,0.00000000,0.00000000
FAST,ORB,1,5291,2.48923400,8.66475800,1792,608.57507700,12.29943227,13.46294241
FAST,ORB,2,5202,2.47097000,8.51948300,1794,606.48645500,12.98777737,16.92471347
FAST,ORB,3,5090,2.39179600,8.52827200,1777,594.11304800,17.26938871,12.80194545
FAST,ORB,4,5118,2.49663100,8.80248100,1724,591.84619800,13.79866612,10.88762857
FAST,ORB,5,5180,2.39680400,8.53546100,1792,581.06997900,12.85564709,11.81974646
FAST,ORB,6,5192,2.48211500,8.42341400,1806,577.54978200,13.34054193,12.07500043
FAST,ORB,7,5177,2.51661700,8.35190500,1668,571.40174300,14.45731022,12.37162962
FAST,ORB,8,5176,2.58489600,8.26737500,1796,569.51618200,13.13016586,11.37136702
FAST,ORB,9,5225,2.45662800,8.54612100,1745,579.59170700,12.34545830,12.82801599
FAST,ORB,10,5331,2.51944000,8.75773200,1735,591.72269800,12.14960324,13.73563683
FAST,ORB,11,5351,2.46960700,8.70561400,1782,606.12852900,11.54790781,13.12916253
FAST,ORB,12,5244,2.37829400,8.83624500,1828,601.33046700,10.07826007,12.55736578
FAST,ORB,13,5231,2.40083000,8.56002200,1759,586.53907300,9.20565887,12.20844585
FAST,ORB,14,5286,2.51465200,8.49594800,1815,581.21279400,9.54236248,11.81099015
FAST,ORB,15,5464,2.47780400,9.27538700,1910,606.51007600,8.39156690,8.75591375
FAST,ORB,16,5464,2.58160000,8.70770300,1986,642.27942400,8.88653053,11.64368365
FAST,ORB,17,5563,2.53106500,8.78164600,1974,629.75810400,11.04299793,11.13927933

